time_ms,active_raw,sham_raw,active_revpeak_norm,sham_revpeak_norm,active_abs_norm,sham_abs_norm
0.305,-0.22015875570137827,-0.5498400383519334,-0.22413715642320833,-0.576659716166266,-0.20629246592932204,-0.4374325552862
0.31,-0.0039066661788078865,-0.13666363731327597,-0.003977261979080304,-0.14332971192774566,-0.003660612075234014,-0.10872457426679606
0.315,0.015304980252819091,-0.07973013273064897,0.015581550422792254,-0.08361914830386794,0.014341024536113252,-0.06343036749053987
0.32,0.00746958289598032,-0.0625577567538349,0.007604562737642605,-0.06560915127569283,0.006999125109361345,-0.04976865539262037
0.325,0.0028010935859925645,-0.053220778133859614,0.0028517110266159202,-0.055816740637529796,0.0026246719160104522,-0.0423404978713338
0.33,0.0028010935859925645,-0.03921531020389657,0.0028517110266159202,-0.04112812468028513,0.0026246719160104522,-0.031198261589403864
0.335,0.00746958289598032,-0.034546820893908814,0.007604562737642605,-0.03623191936120349,0.006999125109361345,-0.02748418282876049
0.34,0.0028010935859925645,-0.032110380453025625,0.0028517110266159202,-0.033676636087713645,0.0026246719160104522,-0.025545840231788675
0.34500000000000003,0.0028010935859925645,-0.025209842273933525,0.0028517110266159202,-0.026439508723040454,0.0026246719160104522,-0.020056025307473923
0.35000000000000003,0.00746958289598032,-0.025209842273933525,0.007604562737642605,-0.026439508723040454,0.006999125109361345,-0.020056025307473923
