time_ms,active_revpeak_norm,sham_revpeak_norm,active_abs_norm,sham_abs_norm
0.0,0.0,0.0,0.0,0.0
0.005,1.219067919359757,1.0813397129186606,1.0,0.971270873446988
0.01,1.2063257126549456,1.0933014354066986,0.9895475826223831,0.9820150202771535
0.015,1.1712943420287876,1.0863757320693261,0.9608113899379294,0.9757942796076295
0.02,1.1056117501059683,1.0622009569377993,0.9069320359825607,0.9540802385187227
0.025,1.046319657159697,1.1089121531695962,0.8582948009239834,0.9960367336162294
0.03,0.9847549950471955,1.1133245549524657,0.8077933800147736,1.0
0.035,0.8945980765431923,1.0458875531094518,0.7338377643577291,0.9394273650544848
0.04,0.8065389141926318,0.9087002736234696,0.6616029356397292,0.8162042861457118
0.045,0.7024450651327688,0.79402587513361,0.5762148720160616,0.7132025172727027
0.05,0.6013426853099333,0.647841530624093,0.4932807071370994,0.5818981785161049
0.055,0.4878379007980357,0.5242590356782354,0.4001728640798321,0.4708950623123722
0.06,0.3639415660351422,0.36908233416601266,0.2985408444069966,0.3315136925025164
0.065,0.26210063812185846,0.23984020270169412,0.2150008493862354,0.21542703036127167
0.07,0.11692472147503807,0.09386059196755447,0.09591321338063416,0.0843065856672513
0.075,0.0012189057446124686,-0.03595904431271206,0.0009998669682429397,-0.03229879746454291
0.08,-0.11538717240928234,-0.18499179725066733,-0.09465196366571815,-0.1661616070783292
0.085,-0.21514948739775733,-0.32086218934506333,-0.17648687491567477,-0.28820184367420404
0.09,-0.3279938111067907,-0.4426858570309924,-0.2690529427425586,-0.3976251624575847
0.095,-0.4350206901357476,-0.5653562241151914,-0.35684696744724154,-0.5078089956790091
0.1,-0.5347147418464625,-0.676092633008104,-0.43862588240964434,-0.6072736202579941
0.105,-0.6197632917313611,-0.7745604606640224,-0.5083911092146982,-0.6957184742027834
0.11,-0.6994991879548929,-0.8610853979152228,-0.5737983723845865,-0.7734360964956777
0.115,-0.7733788482500629,-0.9565372637057378,-0.6344017720163075,-0.8591719812975632
0.12,-0.8474136735383692,-0.9904306220095694,-0.6951324533118901,-0.8896153575377278
0.125,-0.8885831476317201,-0.9856459330143539,-0.7289037251496173,-0.8853176988056612
0.13,-0.934841847115542,-0.9930371163242152,-0.7668496826710953,-0.8919565385554742
0.135,-0.9625212471948249,-1.0,-0.7895550624450294,-0.8982106750018604
0.14,-0.9923759859241195,-0.9928229665071769,-0.8140448699899396,-0.8917641869037608
0.145,-1.0,-0.8371718528090321,-0.8202988398917024,-0.7519566950041587
0.15,-0.9947168183681088,-0.9471265069388408,-0.8159650521281249,-0.8507191391096903
0.155,-0.967086033546935,-0.9206431640281896,-0.7932995513940188,-0.8269315177976085
0.16,-0.9550332548834467,-0.886405766636991,-0.7834126710388879,-0.7961791219765532
0.165,-0.9168164587788395,-0.8334390808156886,-0.7520634775299009,-0.7486038793523897
0.17,-0.8726653394582862,-0.7813845228560448,-0.7158463655713309,-0.7018479197105345
0.17500000000000002,-0.8216189301424748,-0.76848242438137,-0.6739730552289337,-0.6902591171306565
0.18,-0.771524168387167,-0.7936347558379456,-0.6328803802764035,-0.7128512097461378
0.185,-0.6947114781229031,-0.7395046119995347,-0.5698710195636673,-0.6642309367110909
0.19,-0.6297477862708826,-0.6220284014613092,-0.5165813785023727,-0.5587125503468907
0.195,-0.5495262422572739,-0.5252083438783063,-0.4507757390136884,-0.47174774107154266
0.2,-0.4598254995138719,-0.4191351830954876,-0.3771943238038517,-0.3764716957252262
0.20500000000000002,-0.3616271824216705,-0.318489160758999,-0.29664235821380136,-0.2860703640661165
0.21,-0.27758871936520996,-0.21066610492968807,-0.22770570446230506,-0.18922254430890786
0.215,-0.17748660236098635,-0.10638991940165916,-0.145592054013037,-0.0955605613191578
0.22,-0.0856110257585903,0.01913875598086142,-0.07022662511171027,0.017190634928265426
0.225,0.009178942375283055,0.11352880489961895,0.007529475781877478,0.10197278448104125
0.23,0.11630305192045867,0.21012578045214986,0.09540325856621668,0.18873721909521823
0.23500000000000001,0.20544988359602462,0.3147930852758436,0.1685303011697043,0.28275050961153364
0.24,0.29976352315862903,0.4115853785620933,0.24589567028887285,0.36969038069915405
0.245,0.38639521416843525,0.4914637069281233,0.3169595459220733,0.44143794793882607
0.25,0.4639459477321301,0.5753633177813581,0.3805743226971227,0.5167974740357035
0.255,0.543992678732951,0.6391000199486105,0.4462365632742193,0.5740464603117439
0.26,0.6161045608806022,0.7168467500141436,0.5053898565423447,0.6438794032030937
0.265,0.676989618961606,0.7272727272727274,0.5553337990529311,0.6532441272740803
0.27,0.7367089204300201,0.7296650717703351,0.604321472766614,0.6553929566401135
0.275,0.7670203397109318,0.7390574802821394,0.6291858948382167,0.6638293182293945
0.28,0.8145316975227205,0.751196172248804,0.6681594065329066,0.674732420934412
0.28500000000000003,0.8395790784003749,0.7559808612440192,0.6887057440091722,0.6790300796664782
0.29,0.8596344644037766,0.7478371389524882,0.7051571538813428,0.6717153013699744
0.295,0.8670448742185869,0.6306301229965767,0.7112359044555538,0.5664387084532614
0.3,0.8642964812721059,0.13730449617850007,0.708981400909989,0.1233283641932809
0.305,0.7571036036581542,-0.029359515635840532,0.6210512077586111,-0.026371030356995995
0.31,0.1262517839577991,-0.06021807999094896,0.10356419191484044,-0.05408852227598629
0.315,-0.14090055305736193,-0.05931536817095031,-0.11558056021305325,-0.05327769688281314
0.32,-0.1650940216817496,-0.03951581448388091,-0.13542643445859476,-0.03549352640081496
0.325,-0.12179782419649751,-0.026315789473684025,-0.09991061388972043,-0.02363712302636458
0.33,-0.06568133271884861,-0.012706296912729757,-0.053878321031812434,-0.011412931526757049
0.335,-0.013177980032807667,-0.005613040138390122,-0.010809881733028147,-0.005041692571515927
0.34,0.0,0.0009121278616583424,0.0,0.0008192829823081432
0.34500000000000003,0.0028650551433432505,0.0,0.0023502014103102234,0.0
